ВЛ 10кВ № 3 ПС Шпикуловская
Тамбовская область, Жердевский район
510274
xy
319065.07	1287064.69	212
319034.47	1287118.82	213
319004.52	1287171.82	214
319001.03	1287174.45	215
318930.51	1287191.46	216
318864.81	1287207.30	217
318800.39	1287222.84	218
318746.93	1287235.73	219
318701.68	1287246.65	220
318643.83	1287260.30	221
318594.47	1287271.95	222
318599.87	1287328.64	223
318606.57	1287398.95	224
318612.76	1287463.98	225
318618.21	1287521.13	226
318617.50	1287524.35	227
318607.31	1287541.79	228
318589.18	1287531.20	229
318596.83	1287518.10	230
318591.86	1287465.98	231
318585.67	1287400.95	232
318578.97	1287330.64	233
318573.84	1287276.87	234
318520.96	1287289.60	235
318464.17	1287303.27	236
318401.15	1287318.44	237
318344.20	1287332.14	238
318294.31	1287344.15	239
318238.64	1287357.55	240
318179.87	1287371.69	241
318116.90	1287386.85	242
318051.85	1287402.50	243
317993.41	1287416.57	244
317941.30	1287429.11	245
317879.45	1287444.00	246
317829.41	1287456.04	247
317780.01	1287467.93	248
317668.46	1287494.80	249
317602.12	1287510.97	250
317538.46	1287526.49	251
317477.33	1287541.39	252
317416.28	1287556.28	253
317354.52	1287571.33	254
317295.81	1287585.64	255
317233.26	1287600.89	256
317172.11	1287615.80	257
317114.34	1287629.88	258
317052.93	1287644.85	259
316993.74	1287659.28	260
316927.67	1287675.39	261
316864.82	1287690.71	262
316801.21	1287706.22	263
316740.26	1287721.08	264
316685.43	1287734.32	265
316626.91	1287748.46	266
316556.30	1287765.51	267
316509.86	1287776.73	268
316469.62	1287786.45	269
316414.54	1287799.76	270
316351.54	1287814.98	271
316289.21	1287830.03	272
316228.04	1287858.40	273
316168.72	1287885.90	274
316107.43	1287914.32	275
316053.53	1287939.31	276
316002.72	1287962.88	277
315946.23	1287989.07	278
315890.83	1288014.76	279
315838.43	1288039.06	280
315780.10	1288066.11	281
315732.73	1288088.07	282
315691.32	1288107.27	283
315627.34	1288136.94	284
315625.41	1288183.04	285
315622.61	1288255.97	286
315620.34	1288314.90	287
315617.36	1288390.68	288
315614.79	1288456.29	289
315612.00	1288527.34	290
315611.96	1288527.87	291
315609.58	1288544.81	292
315588.79	1288541.90	293
